141|SMNE|2.425|48.844|81.652
142|SMTG|-2.0275|48.641|8.667
143|SOPH|7.0541|43.611|129.349
144|STEY|5.7618|45.235|1343.731
145|STJ9|7.6838|48.622|188.743
146|STMR|4.4216|43.449|6.15
147|STPS|3.294|46.308|250.691
148|STV2|6.1062|44.567|761.822
149|TENC|4.2875|45.125|884.076
150|TETN|-5.363|35.562|21.037
151|TLSE|1.4809|43.561|157.727
152|TORI|7.6613|45.063|261.174
153|TRMO|2.7248|44.285|759.14
154|TUDA|9.362|42.604|407.776
155|VAUD|5.6269|46.981|222.421
156|VILL|-3.952|40.444|595.399
157|VILR|5.5518|45.073|1024.864
158|VISN|4.9492|44.32|195.236
159|WSRT|6.6045|52.915|40.519
160|WTZR|12.879|49.144|619.207
161|ZERM|7.732|46.001|1876.419
162|ZIMM|7.4653|46.877|906.719
